Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
     2 src/core/access.js
     1 src/event.js
     1 src/ajax.js

Christian Grete is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/core.js

Christian Wenz is mostly responsible for:
    36 test/unit/ajax.js
     9 test/data/jquery-3.7.1.js
     9 src/ajax.js

Christopher Jones is mostly responsible for:
   245 test/unit/manipulation.js
    32 test/unit/wrap.js
     8 test/unit/attributes.js
     2 test/unit/css.js
     1 test/data/testrunner.js

Colin Snover is mostly responsible for:
    50 test/unit/effects.js
    41 test/unit/data.js
    33 test/unit/manipulation.js
    10 test/unit/event.js
    10 test/unit/dimensions.js
     8 test/data/jquery-3.7.1.js
     6 test/unit/css.js
     6 test/unit/core.js
     6 test/unit/attributes.js
     3 test/unit/deprecated.js

Connor Atherton is mostly responsible for:
    31 test/unit/css.js
    23 test/unit/core.js
    14 test/data/jquery-3.7.1.js
    12 src/css.js

Corey Frang is mostly responsible for:
   458 test/unit/effects.js
   401 test/data/jquery-3.7.1.js
   290 src/effects.js
   180 test/unit/tween.js
   126 test/unit/animation.js
    62 test/unit/queue.js
    47 src/effects/Tween.js
    40 test/unit/data.js
    38 src/queue.js
     6 src/traversing.js

Dallas Fraser is mostly responsible for:
     9 test/unit/ajax.js
     3 test/data/jquery-3.7.1.js
     3 src/ajax.js

Damian Senn is mostly responsible for:
     8 test/data/jquery-3.7.1.js
     8 src/event.js

Dan Hart is mostly responsible for:
    13 test/unit/ajax.js
     4 test/data/jquery-3.7.1.js
     4 src/ajax.js

Dan Heberden is mostly responsible for:
    16 test/unit/css.js
    11 test/data/jquery-3.7.1.js
     6 src/core.js
     4 src/css.js
     3 test/unit/core.js
     1 src/ajax.js

Daniel Chatfield is mostly responsible for:
     8 test/unit/manipulation.js

Daniel Gálvez is mostly responsible for:
     6 test/unit/manipulation.js

Daniel Herman is mostly responsible for:
     2 test/unit/deferred.js
     2 test/data/jquery-3.7.1.js
     1 test/unit/event.js
     1 src/event.js
     1 src/deprecated/event.js

Daniel Husar is mostly responsible for:
     2 test/data/jquery-3.7.1.js
     2 src/core.js

Daniel Nill is mostly responsible for:
     1 test/unit/serialize.js

Daniel Pihlstrom is mostly responsible for:
     2 test/unit/effects.js

Danil Somsikov is mostly responsible for:
     1 test/unit/data.js

Dave Methvin is mostly responsible for:
   577 test/unit/event.js
   381 test/data/jquery-3.7.1.js
   165 src/event.js
   164 test/unit/ajax.js
    63 test/unit/manipulation.js
    61 test/unit/deprecated.js
    61 src/event/trigger.js
    50 test/unit/deferred.js
    48 test/unit/traversing.js
    39 test/unit/core.js

Dave Reed is mostly responsible for:
     6 test/unit/data.js
     2 test/data/jquery-3.7.1.js
     1 src/event/trigger.js
     1 src/event.js

David Broder-Rodgers is mostly responsible for:
    16 test/unit/core.js

David Fox is mostly responsible for:
     3 test/unit/offset.js

David Hong is mostly responsible for:
     6 test/unit/ajax.js

David Serduke is mostly responsible for:
    24 test/unit/effects.js
    14 test/unit/core.js
    13 test/unit/ajax.js
     5 test/data/jquery-3.7.1.js
     3 test/unit/event.js
     2 test/unit/manipulation.js
     2 test/unit/attributes.js
     2 src/effects.js
     2 src/core.js
     1 src/ajax/load.js

Devin Cooper is mostly responsible for:
     8 test/unit/manipulation.js
     3 test/data/jquery-3.7.1.js
     3 src/manipulation.js

Devin Wilson is mostly responsible for:
    21 test/unit/event.js
     2 test/data/jquery-3.7.1.js
     2 src/event.js

Dimitri Papadopoulos Orfanos is mostly responsible for:
     3 test/unit/css.js
     2 test/unit/traversing.js
     1 test/unit/ajax.js

Elijah Manor is mostly responsible for:
    11 test/unit/manipulation.js
     3 test/unit/css.js

Erick Ruiz de Chávez is mostly responsible for:
    75 test/unit/ajax.js
    61 test/unit/attributes.js
    23 test/unit/deferred.js
     5 test/unit/callbacks.js

Erik Lax is mostly responsible for:
     8 test/unit/ajax.js

Felipe Sateler is mostly responsible for:
     8 test/unit/event.js
     3 test/data/jquery-3.7.1.js
     3 src/event.js

Filipe Fortes is mostly responsible for:
     2 test/unit/core.js

Gabriel Schulhof is mostly responsible for:
    22 test/unit/event.js
     1 test/data/jquery-3.7.1.js
     1 src/event/trigger.js

Gary Ye is mostly responsible for:
     1 test/unit/event.js

George Mauer is mostly responsible for:
     2 test/data/jquery-3.7.1.js
     2 src/ajax.js

Gianni Alessandro Chiappetta is mostly responsible for:
     6 test/data/jquery-3.7.1.js
     5 test/unit/deprecated.js
     3 src/event.js
     3 src/deprecated.js

Gilad Peleg is mostly responsible for:
    27 test/data/jquery-3.7.1.js
    17 src/attributes/prop.js
    10 src/attributes/attr.js

Ilya Kantor is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/event.js

Iraê Carvalho is mostly responsible for:
     3 test/unit/event.js

J.Son is mostly responsible for:
     5 test/unit/css.js

Jacob Wright is mostly responsible for:
     1 test/unit/data.js

James Burke is mostly responsible for:
     3 test/unit/exports.js
     1 test/data/testinit.js

James Huston is mostly responsible for:
     6 test/unit/css.js
     2 test/unit/event.js
     1 test/unit/traversing.js
     1 test/unit/manipulation.js
     1 test/unit/effects.js

James Padolsey is mostly responsible for:
    14 test/unit/effects.js

Jared Grippe is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     2 src/core/init.js
     1 src/core.js

Jason Bedard is mostly responsible for:
   105 test/data/jquery-3.7.1.js
    52 test/unit/dimensions.js
    51 src/event.js
    43 test/unit/offset.js
    31 test/unit/data.js
    17 test/unit/manipulation.js
    16 src/data/Data.js
    11 test/unit/event.js
     9 src/manipulation.js
     6 src/core/toType.js

Jason Moon is mostly responsible for:
    43 test/unit/event.js

Jay Merrifield is mostly responsible for:
     6 test/data/jquery-3.7.1.js
     6 src/offset.js
     3 test/unit/offset.js

Jean Boussier is mostly responsible for:
    17 test/unit/ajax.js
     3 test/data/jquery-3.7.1.js
     3 src/ajax.js

Jeffery To is mostly responsible for:
    15 test/unit/effects.js

Jephte Clain is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     3 src/exports/global.js

Jeremy Dunck is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/attributes/classes.js

Jess Thrysoee is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/ajax.js

Joe Trumbull is mostly responsible for:
     2 test/unit/serialize.js

Joelle Fleurantin is mostly responsible for:
     6 test/unit/attributes.js
     5 test/data/jquery-3.7.1.js
     5 src/attributes/prop.js
     1 test/unit/offset.js

John Hoven is mostly responsible for:
     6 test/unit/attributes.js
     2 src/attributes/val.js
     1 test/data/jquery-3.7.1.js

John Paul is mostly responsible for:
    44 test/unit/effects.js

John Resig is mostly responsible for:
   650 test/data/jquery-3.7.1.js
   325 test/unit/event.js
   200 test/unit/manipulation.js
   159 test/unit/attributes.js
   144 test/unit/effects.js
   119 src/core.js
   102 test/unit/data.js
   100 test/unit/core.js
    80 test/unit/ajax.js
    71 src/event.js

Jordan Boesch is mostly responsible for:
     6 test/unit/core.js
     4 test/data/jquery-3.7.1.js
     4 src/core.js

Josh Soref is mostly responsible for:
     1 test/unit/manipulation.js

Julian Aubourg is mostly responsible for:
   955 test/unit/ajax.js
   667 test/data/jquery-3.7.1.js
   353 src/ajax.js
   264 test/unit/deferred.js
   233 test/unit/callbacks.js
    85 src/callbacks.js
    65 src/deferred.js
    49 test/unit/serialize.js
    48 src/ajax/xhr.js
    38 src/ajax/script.js

Jun Sun is mostly responsible for:
    10 test/unit/css.js

Justin Meyer is mostly responsible for:
    41 test/unit/event.js
     3 test/data/jquery-3.7.1.js
     3 src/event.js

Jörn Zaefferer is mostly responsible for:
    25 test/unit/core.js
    24 test/data/jquery-3.7.1.js
    16 test/unit/event.js
    16 test/unit/ajax.js
    13 src/ajax.js
     8 src/core.js
     6 test/unit/effects.js
     2 test/unit/serialize.js
     2 test/unit/manipulation.js
     2 test/data/testrunner.js

Karl Swedberg is mostly responsible for:
    29 test/data/jquery-3.7.1.js
    24 test/unit/effects.js
    14 src/effects.js
     7 src/attributes/val.js
     3 src/effects/Tween.js
     2 test/unit/offset.js
     2 src/attributes/attr.js
     1 test/unit/attributes.js
     1 src/queue.js
     1 src/event.js

Lee Carpenter is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     2 test/unit/core.js
     1 src/core/init.js

Leonardo Braga is mostly responsible for:
    74 test/unit/manipulation.js
     4 test/unit/core.js

Li Xudong is mostly responsible for:
     1 test/unit/data.js

Liam James is mostly responsible for:
     4 test/unit/offset.js
     4 src/offset.js

Lihan Li is mostly responsible for:
     2 test/unit/css.js

Liza Ramo is mostly responsible for:
     6 test/unit/core.js

Louis-Rémi Babé is mostly responsible for:
    43 test/unit/manipulation.js
    33 test/unit/attributes.js
    29 test/unit/effects.js
    14 test/unit/css.js
     8 test/unit/traversing.js
     8 test/unit/queue.js
     8 test/unit/event.js
     8 test/data/jquery-3.7.1.js
     4 src/event.js
     3 test/unit/wrap.js

Luis Emilio Velasco Sanchez is mostly responsible for:
    34 test/unit/traversing.js

MORGAN is mostly responsible for:
     5 test/unit/traversing.js
     1 test/data/jquery-3.7.1.js
     1 src/traversing.js

Manoj Kumar is mostly responsible for:
    10 test/data/jquery-3.7.1.js
     3 src/serialize.js
     2 src/attributes/val.js
     1 test/unit/queue.js
     1 test/unit/core.js
     1 test/data/testinit.js
     1 src/queue.js
     1 src/effects.js
     1 src/data/Data.js
     1 src/css.js

Marcel Greter is mostly responsible for:
     3 test/unit/deprecated.js

Marian Sollmann is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/traversing.js

Marja Hölttä is mostly responsible for:
     7 test/data/jquery-3.7.1.js
     7 src/core.js

Mark Raddatz is mostly responsible for:
     3 test/unit/manipulation.js

Martijn W. van der Lee is mostly responsible for:
    10 test/unit/traversing.js

Mathias Bynens is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/attributes/val.js

Matt Farmer is mostly responsible for:
     2 test/data/jquery-3.7.1.js
     2 src/ajax.js

Matthias Jäggli is mostly responsible for:
     6 test/unit/attributes.js

Michael Monteleone is mostly responsible for:
     6 test/unit/manipulation.js

Michał Gołębiowski-Owczarek is mostly responsible for:
  2075 test/unit/selector.js
  1272 test/unit/ajax.js
   829 test/data/jquery-3.7.1.js
   585 test/unit/event.js
   557 src/selector.js
   471 test/unit/css.js
   440 test/unit/manipulation.js
   283 test/unit/basic.js
   276 test/unit/attributes.js
   267 test/unit/core.js

Mike Alsup is mostly responsible for:
     1 test/unit/ajax.js

Mike Sherov is mostly responsible for:
   114 test/data/jquery-3.7.1.js
    85 test/unit/css.js
    50 test/unit/effects.js
    47 src/css.js
    34 test/unit/dimensions.js
    30 test/unit/event.js
    19 test/unit/core.js
    15 test/unit/offset.js
    10 test/unit/manipulation.js
    10 test/unit/attributes.js

Mike Sidorov is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     2 src/data.js
     1 src/css/finalPropName.js

Naveed Khan is mostly responsible for:
    26 test/unit/selector.js
    12 src/selector/unescapeSelector.js

Neeraj Singh is mostly responsible for:
     5 test/unit/manipulation.js

Nguyen Phuc Lam is mostly responsible for:
    11 test/unit/attributes.js
     7 test/data/jquery-3.7.1.js
     7 src/attributes/val.js
     1 test/unit/queue.js
     1 test/unit/effects.js

Nicolas HENRY is mostly responsible for:
     9 test/unit/deferred.js

Nikita Govorov is mostly responsible for:
    12 test/unit/event.js

Nilton Cesar is mostly responsible for:
    10 test/data/jquery-3.7.1.js
     5 src/data/Data.js
     5 src/core/camelCase.js
     1 src/data.js

Noah Sloan is mostly responsible for:
     1 test/unit/manipulation.js

Nowres Rafid is mostly responsible for:
     1 test/unit/offset.js

Oleg Gaidarenko is mostly responsible for:
   769 test/unit/manipulation.js
   604 test/unit/event.js
   584 test/unit/ajax.js
   532 test/unit/effects.js
   518 test/data/jquery-3.7.1.js
   477 test/unit/attributes.js
   387 test/unit/traversing.js
   364 test/unit/core.js
   310 test/unit/wrap.js
   308 test/unit/css.js

Pat O'Callaghan is mostly responsible for:
    13 test/unit/traversing.js

Paul Irish is mostly responsible for:
     2 test/unit/effects.js
     2 test/data/jquery-3.7.1.js
     2 src/effects.js

Paul Ramos is mostly responsible for:
   184 test/unit/manipulation.js
     5 test/unit/wrap.js
     3 test/data/jquery-3.7.1.js
     2 test/unit/css.js
     1 src/manipulation/domManip.js
     1 src/manipulation/buildFragment.js
     1 src/core/parseHTML.js

Pierre Grimaud is mostly responsible for:
     2 test/unit/manipulation.js

Pierre Spring is mostly responsible for:
    41 test/unit/event.js
    17 test/data/jquery-3.7.1.js
    17 src/event/trigger.js

Renato Oliveira dos Santos is mostly responsible for:
    12 test/unit/effects.js
     4 test/data/jquery-3.7.1.js
     4 src/effects.js

Richard D. Worth is mostly responsible for:
     6 test/unit/css.js

Richard Gibson is mostly responsible for:
  1236 test/data/jquery-3.7.1.js
   600 test/unit/deferred.js
   390 test/unit/manipulation.js
   374 test/unit/css.js
   351 test/unit/effects.js
   325 test/unit/event.js
   179 test/unit/offset.js
   173 src/deferred.js
   172 src/event.js
   136 src/ajax.js

Rick Waldron is mostly responsible for:
   172 test/unit/data.js
   165 test/unit/core.js
   128 test/unit/manipulation.js
   128 test/unit/event.js
    87 test/data/jquery-3.7.1.js
    68 test/unit/attributes.js
    33 test/unit/effects.js
    25 test/unit/css.js
    25 src/data/Data.js
    22 test/unit/ajax.js

Robert Katić is mostly responsible for:
    24 test/unit/event.js
    10 test/data/jquery-3.7.1.js
    10 src/core.js
     8 test/unit/core.js

Rod Vagg is mostly responsible for:
     2 test/unit/manipulation.js

Ronny Springer is mostly responsible for:
    15 test/unit/data.js
     1 test/data/jquery-3.7.1.js
     1 src/data.js

S. Andrew Sheppard is mostly responsible for:
     2 test/data/jquery-3.7.1.js
     2 src/exports/amd.js

Sai Lung Wong is mostly responsible for:
     8 test/data/testinit.js
     7 test/unit/attributes.js
     4 test/unit/manipulation.js

Sam Bisbee is mostly responsible for:
     6 test/data/jquery-3.7.1.js
     6 src/ajax.js

Saptak Sengupta is mostly responsible for:
    67 test/unit/css.js
    25 test/unit/effects.js
    11 src/core/isAttached.js
     6 test/data/jquery-3.7.1.js
     3 src/manipulation/buildFragment.js
     2 src/manipulation.js
     1 src/css/curCSS.js

Scott González is mostly responsible for:
    15 test/data/jquery-3.7.1.js
     6 src/traversing.js
     3 test/unit/core.js
     3 src/effects/Tween.js
     2 src/event/trigger.js
     2 src/event.js
     2 src/css.js
     1 test/unit/effects.js
     1 test/unit/css.js

Sean Robinson is mostly responsible for:
   117 test/unit/ajax.js
    10 test/data/mock.php
     3 test/data/jquery-3.7.1.js
     3 src/ajax.js

Sebastian Burkhard is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/core/toType.js

Shashanka Nataraj is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     1 test/unit/basic.js
     1 src/var/isWindow.js
     1 src/offset.js
     1 src/event/trigger.js
     1 src/dimensions.js

Sindre Sorhus is mostly responsible for:
     6 test/unit/manipulation.js
     4 test/data/jquery-3.7.1.js
     3 test/unit/effects.js
     2 src/manipulation/domManip.js
     2 src/manipulation/buildFragment.js
     1 test/unit/data.js

Steve Mao is mostly responsible for:
    13 test/unit/ready.js
     3 test/data/jquery-3.7.1.js
     3 src/deprecated.js

Sylvester Keil is mostly responsible for:
    12 test/unit/offset.js
     5 test/data/jquery-3.7.1.js
     5 src/offset.js

TJ Holowaychuk is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/deprecated/event.js

TJ VanToll is mostly responsible for:
    13 test/unit/ajax.js
     1 test/data/jquery-3.7.1.js
     1 src/ajax.js

Thomas Tortorini is mostly responsible for:
    51 test/data/jquery-3.7.1.js
    41 test/unit/css.js
    34 test/unit/effects.js
    31 src/css/adjustCSS.js
    11 src/attributes/classes.js
     9 test/unit/core.js
     7 src/core.js
     5 src/css/var/getStyles.js
     4 src/effects.js
     2 src/css.js

Timmy Willison is mostly responsible for:
  3015 test/data/jquery-3.7.1.js
   531 src/selector.js
   434 test/unit/attributes.js
   315 test/unit/effects.js
   295 test/unit/event.js
   262 build/release/verify.js
   237 build/release/changelog.js
   205 test/unit/core.js
   193 build/tasks/build.js
   180 build/tasks/lib/compareSize.js

Timo Tijhof is mostly responsible for:
   224 test/data/mock.php
   125 test/unit/ajax.js
    71 test/unit/traversing.js
    21 test/unit/manipulation.js
    14 test/data/jquery-3.7.1.js
     9 test/unit/effects.js
     8 test/unit/data.js
     8 test/unit/css.js
     7 test/unit/attributes.js
     7 src/core.js

Toby Brain is mostly responsible for:
     8 test/unit/wrap.js

TomTensor is mostly responsible for:
    97 test/unit/effects.js

Uri Gilad is mostly responsible for:
     5 test/unit/manipulation.js
     2 test/unit/offset.js
     1 test/data/jquery-3.7.1.js
     1 src/offset.js

Veaceslav Grimalschi is mostly responsible for:
     1 test/unit/event.js

Victor Homyakov is mostly responsible for:
     1 test/unit/ajax.js

Vitaliy Terziev is mostly responsible for:
    32 test/unit/dimensions.js

Vladimir Zhuravlev is mostly responsible for:
     7 test/unit/manipulation.js

William Robinet is mostly responsible for:
     2 test/unit/attributes.js

Wonseop Kim is mostly responsible for:
    15 test/data/jquery-3.7.1.js
     5 src/dimensions.js
     4 src/deprecated/event.js
     2 src/serialize.js
     2 src/selector.js
     2 src/effects.js
     1 src/event/trigger.js
     1 src/ajax.js

Xavi Ramirez is mostly responsible for:
     3 test/data/jquery-3.7.1.js
     3 src/offset.js
     1 test/unit/offset.js

Yehuda Katz is mostly responsible for:
    81 test/unit/css.js
    38 test/unit/traversing.js
    34 test/data/jquery-3.7.1.js
    30 test/unit/attributes.js
    20 test/unit/manipulation.js
    18 test/unit/core.js
    14 src/traversing.js
    10 src/core.js
     9 test/unit/serialize.js
     8 test/data/testinit.js

Yiming He is mostly responsible for:
     6 test/unit/css.js

Yongwoo Jeon is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/core.js

abnud1 is mostly responsible for:
    62 test/unit/ajax.js
    36 test/unit/queue.js
    35 test/unit/manipulation.js
     9 test/unit/core.js
     6 test/unit/tween.js
     4 test/unit/selector.js
     4 test/unit/event.js
     4 test/data/testinit.js
     3 test/unit/data.js
     3 test/data/mock.php

ac-mmi is mostly responsible for:
    36 test/unit/manipulation.js
     1 src/manipulation/getAll.js

avaly is mostly responsible for:
    26 test/unit/css.js

basil.belokon is mostly responsible for:
    11 src/core/DOMEval.js
     8 test/data/jquery-3.7.1.js
     6 test/unit/manipulation.js
     1 src/manipulation/domManip.js

buddh4 is mostly responsible for:
     8 test/unit/manipulation.js
     3 test/data/csp-nonce-external.js
     1 test/data/jquery-3.7.1.js
     1 src/manipulation/domManip.js

fecore1 is mostly responsible for:
    21 test/unit/css.js
     4 src/var/rtrimCSS.js
     3 src/css/curCSS.js
     2 test/data/jquery-3.7.1.js

karan-96 is mostly responsible for:
     5 test/data/jquery-3.7.1.js
     4 test/unit/manipulation.js
     2 test/unit/core.js
     2 src/manipulation.js
     1 src/traversing.js
     1 src/manipulation/getAll.js
     1 src/attributes/val.js

metsw24-max is mostly responsible for:
    11 src/selector/uniqueSort.js

nanto_vi is mostly responsible for:
    19 test/unit/deferred.js
     3 test/data/jquery-3.7.1.js
     3 src/deferred.js

studystill is mostly responsible for:
     3 test/unit/event.js
     1 test/unit/core.js

tmybr11 is mostly responsible for:
     1 test/data/jquery-3.7.1.js
     1 src/event.js

tsinha is mostly responsible for:
     1 test/unit/serialize.js

南漂一卒 is mostly responsible for:
    44 test/unit/traversing.js
     7 test/data/jquery-3.7.1.js
     7 src/traversing.js

高灰 is mostly responsible for:
    28 test/unit/manipulation.js
    13 test/data/mock.php
     1 src/manipulation/domManip.js
     1 src/manipulation/_evalUrl.js

The extensions below were found in the repository history (extensions used
during statistical analysis are marked):
* bat cgi cjs css eslintignore html [js] json log map markdown md mjs [php] pl pm sh svg txt xhtml xml xsl yml 
