Statistical information for the repository 'jquery' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Timo Tijhof                     27          3488           2769            0.55
Toby Brain                       1            32              3            0.00
Todor Prikumov                   1             1              1            0.00
Tom H Fuertes                    1            10              1            0.00
Tom Viner                        1             1              1            0.00
TomTensor                        1            97              0            0.01
Uri Gilad                        2            24              6            0.00
Veaceslav Grimalschi             1             2              1            0.00
Victor Homyakov                  2             4              3            0.00
Vitaliy Terziev                  1            32              6            0.00
Vladimir Zhuravlev               1            71             37            0.01
Vladislav Zarakovsky             1            19             21            0.00
Wesley Walser                    1             8              3            0.00
William Robinet                  1             3              3            0.00
Winston Howes                    1            39             44            0.01
Wonhyoung Park                   1             1              2            0.00
Wonseop Kim                      2            17             12            0.00
Xavi Ramirez                     6            39             32            0.01
Yehuda Katz                     50          1594            439            0.18
Yiming He                        1            22              4            0.00
Yongwoo Jeon                     1             1              1            0.00
Zack Hall                        1             3              2            0.00
abnud1                           2         10518           4953            1.37
ac-mmi                           1            44              1            0.00
avaly                            1            54              2            0.00
basil.belokon                    1            37              5            0.00
buddh4                           1            33              3            0.00
cmc3cn                           1             3              3            0.00
fecore1                          1            42             12            0.00
karan-96                         1            56             36            0.01
metsw24-max                      1            14              9            0.00
nanto_vi                         2            26             13            0.00
neogy-akash                      1             3              1            0.00
njhamann                         1             1              1            0.00
studystill                       1             5              6            0.00
temp01                           1            12              2            0.00
tmybr11                          1             1              0            0.00
tsinha                           1            10              7            0.00
unknown                          1             2              2            0.00
ygj6                             1             5              5            0.00
南漂一卒                         1            64              1            0.01
高灰                             1            61              1            0.01
Total                         5490        412376         715568          100.00

Below are the number of lines from each author that have survived and are still
intact in the current revision:

Author                    Lines      Stability          Age       % in comments
Adam Coulombe                34           68.0        164.0               11.76
Adam J. Sontag                7           35.0        193.0               42.86
Aditya Raghavan              32           68.1        140.5                3.12
Ahmed.S.ElAfifi              26           66.7         84.5                0.00
Alexander Farkas              8            8.7        196.1                0.00
Alexander K                  11           91.7        125.1                0.00
Alexander Lisianoi           29           74.4        126.1               62.07
Alexis Abril                 10           41.7        184.9                0.00
Allen J Schmidt Jr           31           81.6        166.6                0.00
Amey Sakhadeo                10           45.5        155.7                0.00
Anders Kaseorg                3           60.0         47.4                0.00
Andreas Solleder              2          100.0        111.5               50.00
Andrei Fangli                16          100.0         93.2                0.00
Andrew Plummer               12           75.0        163.1                0.00
Anthony Ryan                  4           57.1        133.3              100.00
Anton Matzneller             70           21.6        187.6               11.43
Anton Ryzhov                  5           33.3        180.6                0.00
Apoorv Darshan               57          100.0          6.2                7.02
Ariel Flesler               480            3.3        212.4               10.21
Arne de Bree                  6           19.4        174.8                0.00
Arthur Stolyar               18           54.5        136.0                0.00
Aurelio De Rosa              73           98.6        131.4                0.00
Bastian Buchholz              2          200.0        136.7                0.00
Batiste Bieler                5           26.3        200.7                0.00
Ben Alman                    80           27.8        195.8               25.00
Ben Toews                    45          145.2        141.4               26.67
Benjamin Truyman             14           28.6        166.6               85.71
Benjy Cui                     2          100.0        149.6              100.00
Bennett Sorbo                11           84.6        165.1                0.00
Bernhard M. Wiedeman          2          100.0        127.2              100.00
Bin Xin                       6           60.0        141.2                0.00
Boom Lee                      3          150.0        113.2              100.00
Brandon Aaron               905           15.3        210.7                6.41
Brian Brennan                 7           18.4        184.6                0.00
Bruno PIERRE                  4           40.0         55.3               25.00
Carl Danley                  23           42.6        166.6                0.00
Carl Fürstenberg              1            6.7        184.8                0.00
Chad Killingsworth          192           32.8        170.0                1.04
Charles McNulty              12           25.5        176.2               16.67
Chris Antaki                 45           68.2        153.3                0.00
Christian Grete               2           14.3        131.0                0.00
Christian Wenz               54           98.2         76.9                0.00
Christopher Jones           288           53.9        152.8                0.00
Colin Snover                211            4.8        188.8               11.85
Connor Atherton              92           76.0        124.6               13.04
Corey Frang                1724           20.3        163.9                3.25
Dallas Fraser                17          100.0         72.3               11.76
Damian Senn                  16          177.8        127.7                0.00
Dan Hart                     23          100.0        145.7                8.70
Dan Heberden                 43           27.2        185.4                4.65
Daniel Chatfield              8           29.6        169.3                0.00
Daniel Gálvez                 6            9.0        166.6                0.00
Daniel Herman                 7           70.0        159.1                0.00
Daniel Husar                  4           80.0        150.9                0.00
Daniel Nill                   1           20.0        132.9                0.00
Daniel Pihlstrom              2           11.1        184.1                0.00
Danil Somsikov                1            5.9        163.8                0.00
Dave Methvin               2320           33.5        158.5               15.52
Dave Reed                    10            6.5        191.2                0.00
David Broder-Rodgers         16           88.9        116.3                0.00
David Fox                     3           50.0        166.3                0.00
David Hong                    7           35.0        153.8               14.29
David Serduke                91            1.3        225.1               25.27
Devin Cooper                 14           70.0        167.9                0.00
Devin Wilson                 25          104.2        127.7                0.00
Dimitri Papadopoulos          8          114.3         38.2               25.00
Dmitry Gusev                  4           14.8        162.2              100.00
Ed Sanders                    3           20.0         76.2              166.67
Elijah Manor                 14            2.2        168.8                0.00
Erick Ruiz de Chávez        177           33.3        166.6                7.34
Erik Lax                      8           40.0        113.4                0.00
Felipe Sateler               14           77.8        124.1                0.00
Filipe Fortes                 2           18.2        200.0                0.00
Forbes Lindesay               2          100.0        151.9              100.00
Gabriel Schulhof             24           40.0        135.8                0.00
Gary Ye                       4           66.7        131.5               75.00
George Kats                   1            4.8        154.9              100.00
George Mauer                 20           87.0        139.9               80.00
Gianni Alessandro Ch         30           39.0        188.4               43.33
Gilad Peleg                  56          114.3        134.8                3.57
Ilya Kantor                   2          100.0        154.7                0.00
Iraê Carvalho                 4            8.2        199.4               25.00
J.Son                         5          100.0         30.0                0.00
Jacob Wright                  1           16.7        191.9                0.00
Jae Sung Park                 2          200.0        129.0              100.00
James Burke                  18           16.1        166.7               77.78
James Huston                 18           16.1        166.6               38.89
James Padolsey               14           33.3        201.0                0.00
Jared Grippe                  6            6.1        190.8                0.00
Jason Bedard                426           49.1        129.3               10.56
Jason Moon                   53           74.6        171.5               18.87
Jay Merrifield               17           26.6        166.6               11.76
Jean Boussier                29           87.9        163.3               20.69
Jeffery To                   17           40.5        170.8               11.76
Jephte Clain                  6           75.0        189.8                0.00
Jeremy Dunck                  2           15.4        156.5                0.00
Jess Thrysoee                 2           66.7        185.9                0.00
Joe Presbrey                  2          200.0        175.4              100.00
Joe Trumbull                  2           25.0        125.6                0.00
Joelle Fleurantin            22           91.7        130.6               22.73
John Hoven                    9           39.1        150.0                0.00
John Paul                    48           33.3        160.3                8.33
John Resig                 2975            5.2        205.3               10.12
Jon Dufresne                  7          116.7        129.2              100.00
Jordan Boesch                14            8.5        185.6                0.00
Josh Soref                    2           25.0        129.0               50.00
Julian Aubourg             3460           23.8        176.8               14.48
Jun Sun                      12           85.7        128.2               16.67
Justin Meyer                 54           17.1        200.6               12.96
Jörn Zaefferer              124            1.8        234.3                3.23
Karl Swedberg                84           34.0        198.3                0.00
Lee Carpenter                 6           31.6        187.5                0.00
Leonardo Braga               78           75.7        132.2                0.00
Li Xudong                     1           50.0        162.1                0.00
Liam James                    8          100.0         28.4                0.00
Lihan Li                      2           22.2        155.2                0.00
Liza Ramo                     6           33.3        130.6                0.00
Louis-Rémi Babé             178           12.9        184.0                5.06
Luis Emilio Velasco          34           91.9         99.7                0.00
MORGAN                        7           70.0        166.6                0.00
Manoj Kumar                  23           76.7        120.7                0.00
Marcel Greter                 4           40.0        169.5               25.00
Marian Sollmann               2          100.0        154.2                0.00
Marja Hölttä                 16          200.0         92.7               12.50
Mark Raddatz                  3           23.1        162.9                0.00
Martijn W. van der L         10           83.3        127.8                0.00
Martin Naumann                2           16.7        134.6              100.00
Mathias Bynens                2            8.0        174.8                0.00
Matt Farmer                   4           28.6        165.2                0.00
Matthias Jäggli               6           60.0        168.2                0.00
Michael Monteleone            6           14.6        199.3                0.00
Michał Gołębiowski-O      12161           14.7         65.3               13.07
Mike Alsup                    1            1.3        199.3                0.00
Mike Sherov                 525            6.4        171.3                4.76
Mike Sidorov                  6          120.0        145.7                0.00
Naveed Khan                  45          100.0          1.6               15.56
Neeraj Singh                  5           41.7        199.1                0.00
Nguyen Phuc Lam              27           71.1        162.1                0.00
Nicolas HENRY                 9           37.5        140.8                0.00
Nikita Govorov               12           50.0        168.5                0.00
Nilton Cesar                 24           36.4        105.4               12.50
Noah Sloan                    1            7.7        199.1                0.00
Nowres Rafid                  1           20.0        170.0                0.00
Oleg Gaidarenko            6924           32.3        136.1                3.35
Pat O'Callaghan              13           92.9         87.9                0.00
Paul Irish                    6           60.0        190.6                0.00
Paul Ramos                  201           56.3        165.0                1.99
Pierre Grimaud                2          100.0         76.1                0.00
Pierre Spring                75          129.3        110.7                0.00
Renato Oliveira dos          23           31.9        161.6               13.04
Richard D. Worth              6           11.3        185.4                0.00
Richard Gibson             6131           52.8        139.9               12.15
Rick Waldron               1066           20.5        170.8               11.54
Robert Katić                 62           31.3        198.7               16.13
Rod Vagg                      2            6.5        165.0                0.00
Ronny Springer               18           39.1        154.8                5.56
S. Andrew Sheppard           12          200.0        151.8               66.67
Sai Lung Wong                19           16.7        166.6                0.00
Sam Bisbee                   12          120.0        184.7                0.00
