Statistical information for the repository 'pango' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Werner Lemberg                2          100.0         82.6                0.00
Wouter Bolsterlee             1           10.0        222.3              100.00
Xavid Pretzer                57           82.6         18.7                0.00
Yongsu Park                  26           17.1         74.5                0.00
Zander Brown                 42           87.5         36.4               50.00
badcel                        1          100.0         39.6              100.00
correctmost                   2          100.0         19.3                0.00
kramo                         2          100.0         14.0                0.00
milotype                      3          100.0         86.2               33.33
misos1                        8          100.0         48.1                0.00
msizanoen1                   10          100.0         41.7                0.00
sshil                        48          400.0         36.9               12.50
two                           3          100.0          5.7                0.00

The following monthly history timeline has been gathered from the repository:

Author                  2000-01    2000-02    2000-03    2000-04    2000-05 
Matt Wilson                                                               . 
Owen Taylor           -++++++++   -+++++++  --+++++++   ++++++++  ---++++++ 
Robert Brady                                                   .            
Modified Lines:           10216       7559       6292       3429       6912 

Author                  2000-06    2000-07    2000-08    2000-09    2000-10 
Christopher Blizzard          .                                             
Elliot Lee                    .                     .                       
Havoc Pennington              +          .             +++++++++            
Jonathan Blandford                                             +            
Martin Baulig                            .                     .            
Owen Taylor           ----+++++         ++          .          +       ++++ 
Pablo Saratxaga               .                                             
Tim Janik                                                                 . 
Tor Lillqvist                     -+++++++   ++++++++              -+++++++ 
Modified Lines:            2951       7313       3654        771        217 

Author                  2000-11    2000-12    2001-01    2001-02    2001-03 
3                                                   .                       
8                                                   .                       
Alexander Larsson                        .  ---------          .            
Chookij Vanatham             ++                                             
Elliot Lee                    .          .                                  
Hans Breuer                                                    +            
Havoc Pennington         ++++++          +          .  --+++++++          . 
Owen Taylor                -+++  +++++++++          .                  --++ 
Pablo Saratxaga               .                                             
Robert Brady          -++++++++                                             
Sebastian Wilhelmi            .                                             
Sven Neumann                                                          -++++ 
Tim Janik                                                      .  ------+++ 
Tor Lillqvist                 .          .          .        --+            
Modified Lines:           13881      23561       4773        418         38 

Author                  2001-04    2001-05    2001-06    2001-07    2001-08 
Alex Larsson                             .                                  
Alexander Larsson             .                                   -------++ 
Anders Carlsson               .                                             
Chookij Vanatham             ++          .              -+++++++          . 
Darin Adler                                                   -+            
Hans Breuer                   .          .          .          .          + 
Havoc Pennington              +                                             
James Henstridge                                            ++++            
Matthias Clasen                                                           . 
Owen Taylor           --+++++++  ---++++++   ----++++          .    ---++++ 
Sven Neumann                                                              . 
Tim Janik                                                      .          . 
Modified Lines:            3833        581       1721        488       4872 

Author                  2001-09    2001-10    2001-11    2001-12    2002-01 
Alex Larsson                  .                     .       --++          . 
Alexander Larsson                           -++++++++          .          . 
Chookij Vanatham              .                                   --+++++++ 
Darin Adler                                                    .            
Dov Grobgeld                                                             ++ 
Hans Breuer                   .                     .                       
Havoc Pennington              .       -+++                                . 
Hidetoshi Tajima                                             +++            
James Henstridge              .                                             
Kristian Rietveld                                   .                       
Manish Singh                  .          .          .          .            
Matt Wilson                              .                                  
Matthias Clasen               .  --+++++++          .          .            
Owen Taylor           ---++++++          .          .   ----++++        --- 
Padraig O'Briain                                    .                       
Sven Neumann                  .          +                     .          . 
Tor Lillqvist                            .          .                     . 
Modified Lines:            5209       1181      14214        208       3829 

Author                  2002-02    2002-03    2002-04    2002-05    2002-06 
Alex Larsson                  +          .                                  
Anders Carlsson               .                                             
Darin Adler                   .                                             
Dov Grobgeld                  .          .                                  
Eric Mader                                             +++++++++            
Matthias Clasen                          .                     .          . 
Owen Taylor            --++++++  ---++++++   ++++++++          +  --------- 
Sven Neumann                             +                                . 
Tor Lillqvist                 .          .                     .            
Modified Lines:             572       1591         39       2373      10062 

Author                  2002-07    2002-08    2002-09    2002-10    2002-11 
Alexander Larsson                                              .            
Changwoo Ryu                             .                     .  --+++++++ 
Dov Grobgeld                             .                                  
Eric Mader                               .          .                       
Hidetoshi Tajima                                                          . 
Manish Singh                                                   .            
Matthias Clasen                                     +                     + 
Matthias Warkus               .                                             
Owen Taylor            --++++++   -----+++          .                     . 
Soeren Sandmann                                                           . 
Sven Neumann                  .                                             
Tor Lillqvist                               ---++++++   ++++++++          . 
Modified Lines:            3890       4224       1280       1310        705 

