Statistical information for the repository 'django' was gathered on 2026/09/08.
The analyzed branch was 'main'.
The following historical commit information, by author, was found in the
repository:

Author                     Commits    Insertions      Deletions    % of changes
Arian                            1            17              7            0.00
Aric Coady                       2             9              1            0.00
Arnaldo Govenem                  1            24             17            0.00
Arne Brodowski                   2            28              2            0.00
Arne de Laat                     2            18              1            0.00
Aron Podrigal                    3           478             19            0.03
Arpana Mehta                     1             1              1            0.00
Arsa                             1            35              7            0.00
Artem Kosenko                    1            18              6            0.00
Artem Rizhov                     1            46              9            0.00
Artem Tabolin                    1             6              1            0.00
Arthur Jovart                    1             6              5            0.00
Arthur Moreira                   1            69              0            0.00
Arthur Rio                       1           337             11            0.02
Arthur Silva                     1            14              1            0.00
Artis Avotins                    1            29              2            0.00
Artur Barseghyan                 1             1              1            0.00
Artur Beltsov                    3           187              4            0.01
Artur Frysiak                    1            16              0            0.00
Artur Juraszek                   1            38             38            0.00
Artyom Kotovskiy                 6           850             88            0.05
Asif Saifuddin Auvi              5           108             86            0.01
Aslan Osmanov                    2             9              4            0.00
Astral                           1            13              1            0.00
Athena                           1            12              4            0.00
Attila Tovt                      8           139             32            0.01
Augusto Pontes                   2            21              2            0.00
Author: Mads Jensen              1             0            150            0.01
Avaneesh Kumar                   1             8              5            0.00
Aviral Dasgupta                  2            20              5            0.00
Axel Haustant                    1            26              2            0.00
Axel Hecht                       1             1              1            0.00
Aymeric Augustin              1070         34918          38613            3.98
Ayush Bansal                     1            26              2            0.00
Ayush Joshi                      2            60             63            0.01
Azat                             1            22              1            0.00
Bakdolot                         4            63              7            0.00
Bang Dao + Tam Huynh             1             9              0            0.00
Baptiste Darthenay               2            54              2            0.00
Baptiste Mispelon              163          4392           1964            0.34
Barthelemy Dagenais              1            18              5            0.00
Bartolomé Sánchez                1            36             10            0.00
Barton Ip                        1           107              0            0.01
Bartosz Grabski                  1            23              1            0.00
Bas Peschier                    14           399            132            0.03
Bas Westerbaan                   2           210             15            0.01
Basil Dubyk                      2           150             51            0.01
Bastien Vallet                   1             1              0            0.00
Batuhan Taşkaya                  1            23              3            0.00
Baylee Feore                     1             1              1            0.00
Becky Smith                      1            46              8            0.00
Ben Cail                        15          1019            114            0.06
Ben Cardy                        1           104              4            0.01
Ben Davis                        3           100              8            0.01
Ben Demboski                     2            33              1            0.00
Ben Kraft                        2           224             31            0.01
Ben Lomax                       10           894            228            0.06
Ben Muschol                      1             1              1            0.00
Ben Reilly                       1            35             25            0.00
Ben Spaulding                    2             9              9            0.00
Ben Wilber                       1             4              1            0.00
Bendeguz Csirmaz                15          4004            224            0.23
Benedict Etzel                   1            50             18            0.00
Benjamin Bach                    1            12              5            0.00
Benjamin Kagia                   1            55             16            0.00
Benjamin Wohlwend                3            68             20            0.00
Benjamin Woodruff                1            18              4            0.00
Benjy Weinberger                 3            39             12            0.00
Benoît Vinot                     1            27              1            0.00
Berker Peksag                   48          4152           2743            0.37
Bernd Wechner                    1            66             56            0.01
Bernhard M. Wiedeman             2            12              5            0.00
Bertrand Bordage                 1            34             16            0.00
BeryCZ                           1             7              5            0.00
Beshr Kayali                     1             8              0            0.00
Bhuvnesh                         2            20             12            0.00
Biel Frontera                    1            32              6            0.00
Bjorn Kristinsson                1            24              1            0.00
Blake Griffith                   2            11             11            0.00
Blayze                           1            51              4            0.00
Bo Lopker                        1            31              1            0.00
Bo Marchman                      2            33              3            0.00
Bob Renwick                      1             6              2            0.00
Bogdan Mateescu                  1            19              5            0.00
Bojan Mihelac                    2            43              5            0.00
Bona Fide IT GmbH                2             3              5            0.00
Boris Burkov                     2             5              2            0.00
Boryslav Larin                   1            25              3            0.00
Bouke Haarsma                   20          1124            464            0.09
Bozidar Benko                    1            72             30            0.01
Brad                             1             3              2            0.00
Brad Melin                       2           108              3            0.01
Brad Solomon                     1             3              5            0.00
